Band	Pixel Row	Pixel Column	Corrected Value
1	1	36	689.1
1	6	11	696.8
1	7	25	712.4
1	10	11	706.4
1	24	7	779.0
1	25	27	763.6
1	29	15	733.3
1	29	51	729.8
1	44	27	697.9
1	45	30	704.2
1	59	24	722.2
1	61	37	740.9
2	2	6	625.8
2	2	16	629.1
2	9	31	736.6
2	14	35	681.0
2	30	12	661.6
2	47	43	624.7
2	49	2	625.8
2	51	38	644.1
2	52	28	669.1
2	54	8	642.8
3	11	26	359.0
3	28	34	543.4
3	31	6	422.4
3	31	59	381.2
3	38	3	327.3
3	43	30	319.9
3	53	15	357.7
3	58	9	348.9
3	60	32	384.8
Total L1 Loss: 67728
