Band	Pixel Row	Pixel Column	Corrected Value
1	1	36	778.0
1	6	11	783.0
1	7	25	793.0
1	10	11	794.0
1	24	7	866.0
1	25	27	851.0
1	29	15	821.0
1	29	51	822.0
1	44	27	780.0
1	45	30	788.0
1	59	24	816.0
1	61	37	832.0
2	2	6	674.0
2	2	16	695.0
2	9	31	821.0
2	14	35	751.0
2	30	12	738.0
2	47	43	687.0
2	49	2	704.0
2	51	38	715.0
2	52	28	748.0
2	54	8	733.0
3	11	26	400.0
3	28	34	534.0
3	31	6	459.0
3	31	59	385.0
3	38	3	370.0
3	43	30	358.0
3	53	15	401.0
3	58	9	389.0
3	60	32	422.0
Total L1 Loss: 917634
